userID1,userID2,user1Follows2,user2Follows1,numberOfMentions,NumberOfReplies,NumberOfRetweets,TrustScore
14598,4163,1,1,11,0,20,4
157,11515,1,1,1,0,0,3
14082,12951,0,1,0,1,0,1
6794,6209,1,1,0,2,0,2
14029,14674,1,1,0,0,1,2
14540,12901,1,0,2,0,0,2
6794,13693,1,0,30,0,0,4
12392,296,0,1,0,0,4,2
10554,12901,1,0,10,0,0,3
14255,4871,1,1,0,0,1,2
13140,3908,1,0,0,0,0,1
8811,3788,1,1,0,1,4,3
1517,4780,1,0,3,0,0,2
11884,1894,1,0,6,0,0,1
12324,10323,1,1,0,1,0,3
1676,13332,1,1,34,1,3,4
12929,11585,0,1,0,0,2,1
11769,9384,1,0,1,0,0,2
13140,1204,0,1,0,0,0,1
13140,1344,1,0,0,0,0,1
2604,11706,1,1,2,0,1,2
13140,377,1,0,0,0,0,1
8669,3731,1,1,21,3,0,4
14105,181,1,0,1,0,0,2
13140,323,0,1,0,0,1,1
14255,3467,1,1,0,0,1,2
2629,1348,1,1,1,0,1,2
1875,10476,1,1,15,12,0,4
13140,1447,0,1,0,0,0,1
13140,4190,1,1,0,0,0,3
3552,10623,1,1,17,14,1,4
14255,2952,1,1,0,1,0,2
4139,6261,1,1,0,0,6,3
7899,14678,1,1,5,0,0,3
10487,1265,1,1,5,2,5,4
10134,13704,1,1,0,0,7,4
1676,2975,1,1,1,0,0,2
13140,12971,0,1,0,0,0,1
10182,270,1,1,0,0,1,2
3230,9429,1,1,0,0,0,2
14540,8207,0,1,0,0,0,1
14540,12918,1,1,26,0,0,4
13140,6803,1,1,0,0,3,4
11252,12660,1,1,5,1,1,3
14540,3791,0,1,0,0,0,1
12916,12769,0,1,0,0,0,1
4139,2115,0,1,0,3,0,1
14082,13704,1,1,1,6,56,4
14029,4240,0,1,0,0,2,1
2604,8512,1,1,0,0,1,2
10182,10145,1,0,1,0,1,2
3546,7333,0,1,0,0,6,3
14540,180,1,0,7,0,0,3
13140,14354,0,1,0,0,0,1
4972,14508,1,0,0,0,1,2
14540,8461,0,1,1,0,1,1
4139,7862,1,1,2,0,0,2
2583,7246,1,1,0,0,1,2
13140,1364,1,0,0,0,0,1
3230,13090,0,1,0,0,0,1
3552,12271,1,0,6,0,0,2
11252,6171,1,0,0,0,1,2
13808,11404,1,0,1,0,0,2
6435,14435,1,0,1,0,0,2
12144,5120,1,1,1,0,0,2
14029,1550,1,1,0,0,9,4
10487,14537,1,1,0,0,3,3
14105,12893,1,1,2,0,2,3
14029,12990,1,1,0,0,2,2
10193,10746,1,1,2,1,5,4
4621,12624,1,1,0,0,1,2
12271,10232,1,1,0,5,6,4
2401,1623,1,0,74,0,0,4
2604,8804,1,1,2,0,0,2
13140,852,1,0,0,0,0,1
12929,10815,0,1,0,0,2,1
14598,2981,1,1,27,0,0,4
13140,77,1,0,0,0,0,1
2661,4752,1,1,0,0,1,2
13140,6000,0,1,0,1,0,1
4610,14267,1,0,134,2,0,4
14029,12669,1,1,0,0,2,2
3546,13336,1,1,5,0,5,4
4139,4452,0,1,1,0,2,2
11772,219,1,1,3,0,12,4
10182,1097,1,0,1,0,0,1
13140,5525,0,1,0,0,0,1
14540,13322,0,1,0,0,0,1
8811,6147,1,1,1,0,1,2
13140,12565,1,0,0,0,0,1
3552,10100,1,1,0,1,0,2
4621,3357,1,1,0,1,1,2
14255,1731,1,0,1,0,0,2
13007,9230,1,0,2,0,0,2
14540,785,0,1,0,0,0,1
10182,9113,1,1,0,0,1,3
202,9107,1,1,2,0,0,2
10487,1940,1,1,1,1,0,2
1690,88,1,1,0,4,1,4
1676,11015,1,0,1,0,0,2
12392,13626,0,1,0,0,5,2
2584,12615,1,1,1,0,0,2
10837,10998,1,0,2,0,0,2
8320,1265,0,1,0,2,1,1
13140,2544,0,1,0,0,3,2
13140,8341,0,1,0,0,1,1
